benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_e2e_ms,fa2_ttft_ms,fa2_tpot_ms,guide_ve_ms,guide_e2e_ms,guide_ttft_ms,guide_tpot_ms
chartqa,1792,1024,chartqa_val_146,approximated,366.703,1882.327,429.272,22.704,0.194814,158.301,1673.925,220.87,22.704,155.965,1671.589,218.534,22.704
chartqa,1792,1024,chartqa_val_147,approximated,364.648,3391.202,427.227,23.156,0.107528,155.312,3181.866,217.891,23.156,156.006,3182.56,218.585,23.156
chartqa,1792,1024,chartqa_val_148,approximated,364.037,1060.265,426.243,22.644,0.343345,154.412,850.64,216.618,22.644,155.9,852.128,218.106,22.644
chartqa,1792,1024,chartqa_val_149,approximated,363.883,3566.865,426.128,22.595,0.102018,156.724,3359.706,218.969,22.595,155.881,3358.863,218.126,22.595
chartqa,1792,1024,chartqa_val_150,approximated,367.89,911.984,430.841,22.912,0.403395,154.811,698.905,217.762,22.912,156.067,700.161,219.018,22.912
chartqa,1792,1024,chartqa_val_151,approximated,356.844,3748.58,418.973,21.905,0.095195,155.378,3547.114,217.507,21.905,156.053,3547.789,218.182,21.905
chartqa,1792,1024,chartqa_val_152,approximated,356.525,615.29,418.622,21.852,0.579443,156.495,415.26,218.592,21.852,156.194,414.959,218.291,21.852
chartqa,1792,1024,chartqa_val_153,approximated,367.089,657.906,429.459,22.845,0.557966,156.123,446.94,218.493,22.845,155.926,446.743,218.296,22.845
chartqa,1792,1024,chartqa_val_154,approximated,356.203,1366.082,418.001,21.547,0.260748,158.847,1168.726,220.645,21.547,155.939,1165.818,217.737,21.547
chartqa,1792,1024,chartqa_val_155,approximated,474.409,825.27,537.028,20.589,0.574853,155.796,506.657,218.415,20.589,156.012,506.873,218.631,20.589
chartqa,1792,1024,chartqa_val_156,approximated,362.867,1111.358,425.004,22.14,0.326508,157.165,905.656,219.302,22.14,156.247,904.738,218.384,22.14
chartqa,1792,1024,chartqa_val_157,approximated,366.603,3709.862,428.711,22.021,0.098818,155.103,3498.362,217.211,22.021,156.041,3499.3,218.149,22.021
chartqa,1792,1024,chartqa_val_158,approximated,361.545,1122.846,423.574,21.852,0.32199,155.025,916.326,217.054,21.852,155.949,917.25,217.978,21.852
chartqa,1792,1024,chartqa_val_159,approximated,363.726,776.595,425.447,21.947,0.46836,155.502,568.371,217.223,21.947,156.423,569.292,218.144,21.947
chartqa,1792,1024,chartqa_val_160,approximated,349.933,911.726,412.484,20.802,0.383814,155.138,716.931,217.689,20.802,155.873,717.666,218.424,20.802
chartqa,1792,1024,chartqa_val_161,approximated,350.048,4591.645,412.127,21.003,0.076236,157.071,4398.668,219.15,21.003,156.27,4397.867,218.349,21.003
chartqa,1792,1024,chartqa_val_162,approximated,356.348,1670.346,418.445,21.219,0.213338,155.972,1469.97,218.069,21.219,155.856,1469.854,217.953,21.219
chartqa,1792,1024,chartqa_val_163,approximated,366.856,13094.659,429.118,21.951,0.028016,155.598,12883.401,217.86,21.951,156.062,12883.865,218.324,21.951
