benchmark,resolution,max_new_tokens,sample_id,sdpa_ve_ms,sdpa_e2e_ms,sdpa_ttft_ms,sdpa_tpot_ms,sdpa_f_vision,ve_speedup_measured,e2e_speedup_measured,ttft_speedup_measured,tpot_speedup_measured,e2e_speedup_amdahl,tpot_speedup,method
chartqa,1792,1024,chartqa_val_286,364.175,1028.224,426.521,22.285,0.354179,0.9928,,,,0.9974,1.0,amdahl
chartqa,1792,1024,chartqa_val_287,351.951,1041.423,414.194,20.908,0.337953,0.9987,,,,0.9996,1.0,amdahl
chartqa,1792,1024,chartqa_val_288,351.888,1218.92,413.96,21.183,0.288688,1.0082,,,,1.0024,1.0,amdahl
chartqa,1792,1024,chartqa_val_289,367.488,829.861,429.611,22.236,0.44283,0.9948,,,,0.9977,1.0,amdahl
chartqa,1792,1024,chartqa_val_290,364.798,1211.553,427.011,22.415,0.301099,0.9957,,,,0.9987,1.0,amdahl
chartqa,1792,1024,chartqa_val_291,367.15,868.018,822.165,22.926,0.422975,0.9955,,,,0.9981,1.0,amdahl
chartqa,1792,1024,chartqa_val_292,368.2,1061.272,431.045,22.508,0.346942,1.0078,,,,1.0027,1.0,amdahl
chartqa,1792,1024,chartqa_val_293,370.804,3381.237,436.136,21.816,0.109665,0.9898,,,,0.9989,1.0,amdahl
chartqa,1792,1024,chartqa_val_294,367.985,677.96,430.022,22.54,0.542783,0.9935,,,,0.9964,1.0,amdahl
chartqa,1792,1024,chartqa_val_295,365.695,5390.75,804.44,22.156,0.067837,0.9923,,,,0.9995,1.0,amdahl
chartqa,1792,1024,chartqa_val_296,363.623,903.139,426.473,21.667,0.402621,0.9994,,,,0.9998,1.0,amdahl
chartqa,1792,1024,chartqa_val_297,353.401,5367.45,415.495,21.719,0.065842,1.0101,,,,1.0007,1.0,amdahl
chartqa,1792,1024,chartqa_val_298,365.764,727.687,427.924,21.412,0.502639,0.9969,,,,0.9984,1.0,amdahl
chartqa,1792,1024,chartqa_val_299,370.042,1551.18,433.069,22.362,0.238555,0.995,,,,0.9988,1.0,amdahl
chartqa,1792,1024,chartqa_val_300,368.482,969.452,430.784,23.42,0.380093,0.9924,,,,0.9971,1.0,amdahl
chartqa,1792,1024,chartqa_val_301,354.205,2804.973,416.15,22.325,0.126278,0.9987,,,,0.9998,1.0,amdahl
