benchmark,resolution,max_new_tokens,sample_id,source,sdpa_ve_ms,sdpa_prefill_ms,sdpa_ttft_ms,sdpa_decode_ms,sdpa_e2e_ms,sdpa_tpot_ms,sdpa_f_vision,fa2_ve_ms,fa2_prefill_ms,fa2_ttft_ms,fa2_e2e_ms,fa2_tpot_ms,guide_ve_ms,guide_prefill_ms,guide_ttft_ms,guide_e2e_ms,guide_tpot_ms
docvqa,1792,1024,docvqa_450,approximated,396.561,456.429,458.723,346.455,805.178,24.747,0.492514,158.275,233.006,235.726,582.181,24.747,156.571,222.912,225.421,571.876,24.747
docvqa,1792,1024,docvqa_16837,approximated,387.196,446.605,449.311,327.204,776.515,20.45,0.498633,156.543,222.727,225.21,552.414,20.45,156.577,226.655,229.059,556.263,20.45
docvqa,1792,1024,docvqa_57798,approximated,388.828,448.573,452.322,609.039,1061.361,22.557,0.366348,167.085,233.374,236.491,845.53,22.557,156.947,223.37,226.51,835.549,22.557
docvqa,1792,1024,docvqa_16839,approximated,361.112,420.825,423.379,423.246,846.625,23.514,0.426532,156.171,222.943,225.483,648.729,23.514,156.768,223.3,225.931,649.177,23.514
docvqa,1792,1024,docvqa_57799,approximated,396.364,456.251,460.699,448.104,908.803,22.405,0.436139,172.416,240.31,242.958,691.062,22.405,156.793,223.251,225.676,673.78,22.405
docvqa,1792,1024,docvqa_57800,approximated,398.91,459.608,462.604,727.313,1189.917,23.462,0.335242,156.41,228.585,230.9,958.213,23.462,156.735,226.406,228.747,956.06,23.462
docvqa,1792,1024,docvqa_57801,approximated,356.858,416.472,420.087,398.989,819.076,20.999,0.435684,172.189,238.596,241.029,640.018,20.999,156.047,223.426,225.865,624.854,20.999
docvqa,1792,1024,docvqa_57803,approximated,400.196,460.849,463.783,397.055,860.838,24.816,0.464891,172.642,238.689,242.058,639.113,24.816,160.101,232.502,234.948,632.003,24.816
docvqa,1792,1024,docvqa_57804,approximated,386.635,446.194,448.806,215.484,664.29,23.943,0.582028,168.162,235.469,237.985,453.469,23.943,155.902,222.322,224.739,440.223,23.943
docvqa,1792,1024,docvqa_57805,approximated,456.944,516.718,520.081,1065.965,1586.046,24.226,0.288103,158.754,225.028,227.397,1293.362,24.226,156.014,222.45,225.287,1291.252,24.226
docvqa,1792,1024,docvqa_49605,approximated,358.671,418.169,420.766,419.406,840.172,20.97,0.426903,158.913,225.232,227.967,647.373,20.97,156.471,223.418,225.731,645.137,20.97
docvqa,1792,1024,docvqa_57807,approximated,381.431,441.555,444.848,323.46,768.308,23.104,0.496456,155.336,223.825,226.348,549.808,23.104,159.9,226.909,230.179,553.639,23.104
docvqa,1792,1024,docvqa_57808,approximated,363.312,423.065,425.512,339.079,764.591,21.192,0.475172,157.633,223.839,226.432,565.511,21.192,156.552,222.816,225.095,564.174,21.192
docvqa,1792,1024,docvqa_49617,approximated,359.45,419.283,423.18,518.532,941.712,20.741,0.381698,157.442,226.068,228.787,747.319,20.741,156.528,222.606,224.855,743.387,20.741
docvqa,1792,1024,docvqa_57810,approximated,352.736,412.263,414.569,459.184,873.753,20.872,0.403702,186.647,252.711,254.998,714.182,20.872,156.501,222.632,224.991,684.175,20.872
docvqa,1792,1024,docvqa_41421,approximated,357.303,417.249,419.855,337.165,757.02,21.073,0.471986,155.73,221.93,224.221,561.386,21.073,157.38,223.959,227.592,564.757,21.073
docvqa,1792,1024,docvqa_461,approximated,461.74,521.448,524.665,187197.538,187722.203,274.483,0.00246,158.265,225.262,227.937,187425.475,274.483,156.538,223.513,226.138,187423.676,274.483
docvqa,1792,1024,docvqa_463,approximated,356.944,416.504,419.368,13217.443,13636.811,20.149,0.026175,158.832,229.257,231.898,13449.341,20.149,156.444,228.243,230.647,13448.09,20.149
docvqa,1792,1024,docvqa_4977,approximated,346.497,406.023,408.63,222.766,631.396,20.251,0.548778,158.108,224.418,226.76,449.526,20.251,163.963,231.453,234.84,457.606,20.251
docvqa,1792,1024,docvqa_57815,approximated,373.542,433.342,436.174,390.499,826.673,22.971,0.451862,165.395,231.813,233.998,624.497,22.971,156.744,223.209,225.501,616.0,22.971
docvqa,1792,1024,docvqa_4978,approximated,380.869,440.712,443.217,365.788,809.005,22.862,0.470788,156.707,222.969,225.151,590.939,22.862,156.54,222.925,225.207,590.995,22.862
docvqa,1792,1024,docvqa_57817,approximated,376.664,810.049,812.832,656.262,1469.094,22.63,0.256392,156.647,224.964,227.367,883.629,22.63,156.537,229.347,231.827,888.089,22.63
docvqa,1792,1024,docvqa_41434,approximated,362.215,421.758,424.461,280.94,705.401,21.611,0.513489,169.591,235.984,239.488,520.428,21.611,157.161,236.506,238.881,519.821,21.611
docvqa,1792,1024,docvqa_57819,approximated,357.495,417.233,419.65,467.931,887.581,21.27,0.402774,160.176,227.654,230.36,698.291,21.27,156.549,222.887,225.132,693.063,21.27
docvqa,1792,1024,docvqa_57820,approximated,382.557,442.371,445.305,304.987,750.292,23.46,0.509877,156.819,223.226,225.703,530.69,23.46,156.797,224.638,227.328,532.315,23.46
docvqa,1792,1024,docvqa_57821,approximated,386.381,445.99,448.715,303.796,752.511,23.369,0.513456,154.975,221.274,223.597,527.393,23.369,156.636,223.767,226.26,530.056,23.369
docvqa,1792,1024,docvqa_57822,approximated,383.793,443.648,446.156,511.038,957.194,23.229,0.400956,155.257,221.607,223.949,734.987,23.229,156.467,222.786,225.226,736.264,23.229
docvqa,1792,1024,docvqa_57823,approximated,377.367,436.923,439.462,374.527,813.989,23.408,0.463602,155.828,222.114,224.842,599.369,23.408,156.597,224.609,227.188,601.715,23.408
docvqa,1792,1024,docvqa_49629,approximated,371.268,431.125,433.608,335.206,768.814,22.347,0.482911,157.906,224.712,227.195,562.401,22.347,156.845,223.652,226.208,561.414,22.347
docvqa,1792,1024,docvqa_57825,approximated,360.328,420.022,422.595,311.625,734.22,22.259,0.490764,156.008,222.472,224.962,536.587,22.259,156.787,225.032,227.497,539.122,22.259
